Kaina	Miestas	Rajonas	M2K	M2Vid	Gr4	Kamb	Tipas	Fizine	Remontas	Sodai	Ireng	Irengtumas	Statyba	Stat	Mur	Ntipas	Nplotas	Splotas	Atstumas iki centro (km)	AtsInt	Baldai	Metai	Nuoroda	Skelbimas
625000	Vilnius	Bajorai	3633.72093	3308.456215	3	4	Kotedzas	4	Nereikia	1	3	Irengtas	Nauja	1	Murinis	Murinis	172	3	10.8	3	1	2009	http://www.aruodas.lt/namas/vilniuje/parduodamas-jaukus-siltas-ir-sviesus-kotedzas-baj/2-244716	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/Bajor17.htm
420000	Vilnius	Bajorai	1473.11564	3308.456215	3	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	1	Murinis	Blokinis	285.11	5.06	11.1	3	0	2008	http://www.aruodas.lt/namas/vilniuje/parduodamas-vilniaus-mieste-bajoruose-ajgreim/2-245047	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/Bajor18.htm
750000	Vilnius	Bajorai	2899.783483	3308.456215	3	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	0	Murinis	Murinis	258.64	10.6	11.9	3	1	1997	http://www.aruodas.lt/namas/vilniuje/parduodamas-dvieju-aukstu-namas-ypac-grazioje-viet/2-245617	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/Bajor19.htm
269000	Vilnius	Bajorai	1681.25	3308.456215	3	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	0	Murinis	Murinis	160	8	11.1	3	1	1980	http://www.aruodas.lt/namas/vilniuje/pastatas-balturaudonu-plytu-murinis-198-m/2-245825	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/Bajor21.htm
599000	Vilnius	Bajorai	3697.530864	3308.456215	3	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	1	Murinis	Blokinis	162	6	11.2	3	1	2001	http://www.aruodas.lt/namas/vilniuje/parduodamas-5-kambariu-puikaus-isplanavimo-pilnai/2-246853	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/Bajor22.htm
715000	Vilnius	Bajorai	3575	3308.456215	3	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	1	Murinis	Murinis	200	6	11.1	3	0	2006	http://www.aruodas.lt/namas/vilniuje/parduodamas-puikus-namas-bajoruose-vilniuje-/2-246845	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/Bajor23.htm
970000	Vilnius	Bajorai	4663.461538	3308.456215	3	5	Namas	4	Nereikia	0	4	Irengtas	Nauja	1	Murinis	Murinis	208	6	11.7	3	1	2008	http://www.aruodas.lt/namas/vilniuje/sviesus-ir-kokybiskai-irengtas-dvieju-aukstu-koted/2-248006	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/Bajor26.htm
880000	Vilnius	Bajorai	4247.104247	3308.456215	3	4	Namas	4	Nereikia	0	4	Irengtas	Nauja	1	Murinis	Murinis	207.2	15	11.4	3	0	2010	http://www.aruodas.lt/namas/vilniuje/individualiu-namu-gyvenvieteje-esancioje-bajoruos/2-247423	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/Bajor24.htm
515000	Vilnius	Bajorai	5309.278351	3308.456215	3	3	Namas	4	Nereikia	1	3	Irengtas	Nauja	1	Murinis	Murinis	97	5.55	11.7	3	1	2004	http://www.aruodas.lt/namas/vilniuje/kokybiskai-irengtas-racionalus-ir-ekonomiskas-3/2-247678	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/Bajor25.htm
2500000	Vilnius	Senamiestis	9742.790335	8411.485998	2	6	Namas	4	Nereikia	0	4	Irengtas	Nauja	1	Murinis	Murinis	256.6	7.4	3.52	1	0	2007	http://www.aruodas.lt/namas/vilniuje/isskirtinis-objektas-nekilnojamojo-turto-rinkoje-/2-248077	file:///C:/Users/Dovile/Desktop/Namai/326.htm
