Kaina;Miestas;Rajonas;Kamb. Sk;Tipas;Remontas;Árengtumas;Nauja statyba ar ne;Mûrinis ar ne;Namo tipas;Namo plotas;Sklypo plotas;Atstumas iki centro (km);Pastatymo metai;Nuoroda;Skelbimas
140000;Vilnius;Þirmûnai;2;Namas;Reikia;Árengtas;Nenauja;Nemûrinis;Medinis;52;3;3;1940;http://www.aruodas.lt/namas/vilniuje/parduodamas-2k-butas-nuosavame-name-butui-priklau/2-240281;file:///C:/Users/Dovile/Desktop/Namai/35.htm
349000;Vilniaus raj.;Pranciðkoniø k.;4;Namas;Nereikia;Árengtas;Nenauja;Mûrinis;Blokinis;210;13;24;1998;http://www.skelbiu.lt/skelbimai/skubiai-parduodamas-tvarkingas-ir-skubiai-12399285.html;file:///C:/Users/Dovile/Desktop/Namai/69.html
410000;Vilnius;Izabelinës k.;5;Namas;Reikia;Neárengtas;Nauja;Mûrinis;Blokinis;195;10;19;2010;http://www.skelbiu.lt/skelbimai/parduodamas-sublokuotas-namas-parduodamas-12329260.html;file:///C:/Users/Dovile/Desktop/Namai/40.html
480000;Vilnius;Þirmûnai;5;Kotedþas;Reikia;Dalinai árengtas;Nauja;Mûrinis;Mûrinis;107;3;3;2011;http://www.aruodas.lt/namas/vilniuje/parduodamas-dvieju-aukstu-5-kambariu-kotedzas-tusk/2-238895;file:///C:/Users/Dovile/Desktop/Namai/41.html
590000;Vilnius;Antakalnis;4;Kotedþas;Reikia;Dalinai árengtas;Nauja;Mûrinis;Mûrinis;170;2;6;2011;http://www.skelbiu.lt/skelbimai/parduodamas-kokybiskos-statybos-parduodamas-12231940.html;file:///C:/Users/Dovile/Desktop/Namai/43.html
2100000;Vilnius;Valakampiai;6;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;247;3;8;2005;http://www.aruodas.lt/namas/vilniuje/valakampiuose-zuvedru-g-pusyne-parduodamas-sub/2-242678;file:///C:/Users/Dovile/Desktop/Namai/44.htm
6999999;Vilnius;Valakampiai;7;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;388;30;9;2005;http://www.aruodas.lt/namas/vilniuje/3-8-8-kvm-vienas-prabangiausiu-namu-vilniuje-su/2-242564;file:///C:/Users/Dovile/Desktop/Namai/45.htm
900000;Vilnius;Valakampiai;5;Namas;Reikia;Dalinai árengtas;Nauja;Mûrinis;Mûrinis;230;14;8;2008;http://www.aruodas.lt/namas/vilniuje/parduodamas-23-m-individualus-namas-su-3-m-uki/2-240839;file:///C:/Users/Dovile/Desktop/Namai/46.htm
4999999;Vilnius;Valakampiai;6;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;370;3;8;2007;http://www.aruodas.lt/namas/vilniuje/3-7-kvm-vienas-prabangiausiu-bustu-vilniuje-n/2-242559;file:///C:/Users/Dovile/Desktop/Namai/47.htm
299000;Vilnius;Þemieji Paneriai;2;Namas;Reikia;Árengtas;Nenauja;Nemûrinis;Medinis;42;11;8;1956;http://www.aruodas.lt/namas/vilniuje/rami-grazi-vietasalia-nera-judrios-gatves-patog/2-186739;file:///C:/Users/Dovile/Desktop/Namai/48.htm
220000;Vilnius;Þemieji Paneriai;2;Namas;Reikia;Árengtas;Nenauja;Nemûrinis;Medinis;53;8;11;1940;http://www.aruodas.lt/namas/vilniuje/parduodamas-765-aro-namu-valdos-zemes-sklypas-uz/2-242920;file:///C:/Users/Dovile/Desktop/Namai/49.htm
400000;Vilnius;Þemieji Paneriai;6;Namas;Reikia;Árengtas;Nenauja;Mûrinis;Mûrinis;130;7;8;1974;http://www.aruodas.lt/namas/vilniuje/parduodamas-murinis-2-aukstu-13-m-sublokuotas/2-235768;file:///C:/Users/Dovile/Desktop/Namai/50.htm
579000;Vilnius;Þemieji Paneriai;6;Namas;Reikia;Dalinai árengtas;Nauja;Mûrinis;Mûrinis;199;3;9;2010;http://www.aruodas.lt/namas/vilniuje/siam-objektui-taikomos-spec-kreditavimo-salygos/2-242214;file:///C:/Users/Dovile/Desktop/Namai/51.htm
